Charge,Date,BIN,Uoc,Isc,Rser,Rsh,FF,EFF,IRev1,IRev2
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:28,9.00000000e+00,6.45123720e-01,8.95652771e+00,1.73358060e-03,8.54019775e+02,8.02968140e+01,1.88847485e+01,4.17147763e-02,7.21616149e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:30,8.00000000e+00,6.45633161e-01,8.98011875e+00,2.09343620e-03,2.54028381e+02,8.04290314e+01,1.89806442e+01,8.96512195e-02,1.39408216e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:32,2.00000000e+01,6.41806543e-01,8.90634823e+00,2.02969857e-03,4.74210144e+02,8.03263474e+01,1.86892567e+01,7.98150972e-02,2.29986489e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:34,9.00000000e+00,6.44565821e-01,8.94467545e+00,1.96303288e-03,5.54603638e+02,8.03450012e+01,1.88547554e+01,2.65240837e-02,5.28576784e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:36,2.00000000e+01,6.41795635e-01,8.88160801e+00,1.80017098e-03,3.49369415e+02,8.03571625e+01,1.86441765e+01,1.02262273e-01,2.59249240e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:38,9.00000000e+00,6.45317197e-01,8.93929482e+00,1.64170831e-03,1.42991669e+02,8.03803558e+01,1.88736801e+01,1.35237530e-01,1.80359289e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:40,1.90000000e+01,6.43488944e-01,8.89375687e+00,1.84149412e-03,6.71655457e+02,8.04177551e+01,1.87330494e+01,4.87801619e-02,2.02695861e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:43,2.10000000e+01,6.41143441e-01,8.90060806e+00,1.99713628e-03,2.65061615e+02,8.00470734e+01,1.85930481e+01,1.22554012e-01,2.53325462e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:45,1.00000000e+00,6.40177190e-01,8.87127686e+00,1.65338127e-03,1.38705704e+02,7.99761047e+01,1.84874401e+01,2.91860491e-01,6.81796789e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:47,2.00000000e+00,6.36337101e-01,8.82994843e+00,1.74996280e-03,2.37425247e+02,8.00037842e+01,1.82972622e+01,1.93366051e-01,9.44427907e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:49,1.00000000e+00,6.39127970e-01,8.86397934e+00,1.90150365e-03,8.92141968e+02,8.01106949e+01,1.84729919e+01,8.71827081e-02,4.95174766e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:51,1.90000000e+01,6.42166197e-01,8.91063118e+00,1.88315078e-03,3.84181732e+02,8.03786240e+01,1.87208977e+01,6.44461364e-02,1.56373844e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:53,1.90000000e+01,6.42604709e-01,8.90917301e+00,2.05161818e-03,6.22655518e+02,8.04681778e+01,1.87514839e+01,5.73190488e-02,1.07826680e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:55,1.90000000e+01,6.43951118e-01,8.91808033e+00,2.30857381e-03,2.41768539e+02,8.01718445e+01,1.87402916e+01,1.15222566e-01,2.17212722e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:57,1.00000000e+00,6.39267385e-01,8.85246658e+00,1.90196419e-03,6.48816956e+02,8.02479858e+01,1.84846478e+01,6.15203641e-02,2.46125847e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:28:59,1.90000000e+01,6.43296301e-01,8.92189407e+00,1.37935358e-03,6.14460815e+02,8.03201065e+01,1.87638779e+01,6.45696521e-02,1.12989686e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:01,2.00000000e+01,6.43610775e-01,8.87007523e+00,1.67261262e-03,1.76776566e+02,8.03359985e+01,1.86677074e+01,1.38680145e-01,3.55176568e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:03,2.00000000e+01,6.43952370e-01,8.89050961e+00,2.14857399e-03,4.67091492e+02,8.01954880e+01,1.86879025e+01,8.13206583e-02,2.36489639e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:05,2.10000000e+01,6.43357515e-01,8.88590622e+00,2.41240230e-03,3.27458221e+02,7.99059753e+01,1.85936031e+01,8.22199807e-02,2.01186597e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:07,2.00000000e+01,6.43550038e-01,8.87523556e+00,1.98921468e-03,2.62331177e+02,8.00300674e+01,1.86056824e+01,1.26148343e-01,2.43701205e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:10,1.90000000e+01,6.44117117e-01,8.88847446e+00,1.66271254e-03,3.42826111e+02,8.03418350e+01,1.87225056e+01,7.00752884e-02,2.50390708e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:12,9.00000000e+00,6.44001365e-01,8.94902039e+00,2.15239869e-03,3.84453339e+02,8.02849503e+01,1.88333092e+01,4.77887951e-02,1.03727914e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:14,1.00000000e+00,6.39955699e-01,8.87335587e+00,1.86501816e-03,4.39336151e+02,8.00045929e+01,1.84919586e+01,1.07522488e-01,5.17693162e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:16,2.00000000e+01,6.44214690e-01,8.89996624e+00,2.15875427e-03,9.66835999e+02,8.01194763e+01,1.86976585e+01,4.37467769e-02,7.98099861e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:18,2.00000000e+00,6.38887763e-01,8.83780861e+00,1.56286045e-03,6.55253235e+02,8.00531158e+01,1.83982964e+01,1.68086693e-01,8.72393668e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:20,2.00000000e+01,6.42742991e-01,8.89196968e+00,1.92428322e-03,4.70364288e+02,8.03477936e+01,1.86912994e+01,6.06009848e-02,1.44356206e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:22,2.00000000e+01,6.42484486e-01,8.88729095e+00,1.97466603e-03,4.02580353e+02,8.03696747e+01,1.86790352e+01,7.98845962e-02,1.68039411e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:24,1.00000000e+00,6.39003873e-01,8.83352757e+00,1.81790150e-03,1.05543750e+03,8.03206329e+01,1.84541874e+01,3.09979636e-02,6.77487552e-02
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:26,2.10000000e+01,6.40608430e-01,8.86023903e+00,1.95846148e-03,2.66855042e+02,8.04095917e+01,1.85770245e+01,1.12432137e-01,4.43624288e-01
5345803-S04-156I3-A-L-B-190,20.02.2020-02:29:29,1.90000000e+01,6.42751575e-01,8.90272999e+00,1.75631943e-03,5.60397217e+02,8.03641129e+01,1.87179699e+01,6.78075925e-02,1.45232722e-01
